what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609070252
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609072998
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609075151
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609077101
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609098930
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609103452
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609141038
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1331609144374
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1331609144442
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1331609144691
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1331609144985
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1331609162425
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609180508
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609240994
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1331609247746
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1331609253279
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609258104
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609290432
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1331609293145
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1331609294652
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1331609300243
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1331609314148
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1331609315056
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609318077
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609342044
