what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1331609485915
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1331609493374
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331609509378
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331609509887
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609512141
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609513389
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.backwardHistory",1331609528785
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.forwardHistory",1331609530352
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.backwardHistory",1331609533047
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.forwardHistory",1331609537991
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.backwardHistory",1331609539540
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609549153
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609554832
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1331609554877
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1331609563307
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1331609567148
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609569517
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1331609585732
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1331609585828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609857479
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1331609858362
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609861614
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609869869
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1331609869879
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331609879339
